,,,T,V
,,,1.568,1.96
,,,1.57,1.98
,,,1.572,1.98
,,,1.574,1.98
,,,1.576,1.96
,,,1.578,1.96
,,,1.58,1.98
,,,1.582,1.96
,,,1.584,1.96
,,,1.586,1.98
,,,1.588,1.96
,,,1.59,1.96
,,,1.592,1.96
,,,1.594,1.98
,,,1.596,1.98
,,,1.598,1.96
,,,1.6,1.98
,,,1.602,1.96
,,,1.604,1.96
,,,1.606,1.96
,,,1.608,1.98
,,,1.61,1.98
,,,1.612,1.94
,,,1.614,1.98
,,,1.616,1.98
,,,1.618,1.96
,,,1.62,1.96
,,,1.622,1.98
,,,1.624,1.96
,,,1.626,1.98
,,,1.628,1.98
,,,1.63,1.96
,,,1.632,1.98
,,,1.634,1.98
,,,1.636,1.98
,,,1.638,1.96
,,,1.64,1.98
,,,1.642,1.98
,,,1.644,1.96
,,,1.646,2
,,,1.648,1.98
,,,1.65,2
,,,1.652,1.98
,,,1.654,1.98
,,,1.656,1.98
,,,1.658,2
,,,1.66,1.98
,,,1.662,1.98
,,,1.664,2
,,,1.666,2
,,,1.668,2
,,,1.67,2
,,,1.672,1.98
,,,1.674,2
,,,1.676,2
,,,1.678,2.02
,,,1.68,2
,,,1.682,2
,,,1.684,2
,,,1.686,1.98
,,,1.688,1.98
,,,1.69,2
,,,1.692,2
,,,1.694,2
,,,1.696,2.02
,,,1.698,2.02
,,,1.7,2
,,,1.702,2
,,,1.704,2.02
,,,1.706,2
,,,1.708,2
,,,1.71,2.02
,,,1.712,2
,,,1.714,2.02
,,,1.716,2.02
,,,1.718,2
,,,1.72,2
,,,1.722,2
,,,1.724,2
,,,1.726,2
,,,1.728,2
,,,1.73,1.98
,,,1.732,2.02
,,,1.734,2
,,,1.736,2
,,,1.738,2.02
,,,1.74,2.02
,,,1.742,2.02
,,,1.744,2.04
,,,1.746,2.02
,,,1.748,2
,,,1.75,2.02
,,,1.752,2
,,,1.754,1.98
,,,1.756,2
,,,1.758,2
,,,1.76,1.98
,,,1.762,2
,,,1.764,1.98
,,,1.766,1.98
,,,1.768,2
,,,1.77,2
,,,1.772,2
,,,1.774,2
,,,1.776,2
,,,1.778,2
,,,1.78,2
,,,1.782,2
,,,1.784,2
,,,1.786,1.98
,,,1.788,2
,,,1.79,2
,,,1.792,2
,,,1.794,2
,,,1.796,1.98
,,,1.798,1.98
,,,1.8,1.98
,,,1.802,1.98
,,,1.804,2.02
,,,1.806,2
,,,1.808,2.02
,,,1.81,2
,,,1.812,2
,,,1.814,2
,,,1.816,2
,,,1.818,2
,,,1.82,2.02
,,,1.822,2.02
,,,1.824,2.02
,,,1.826,2
,,,1.828,2
,,,1.83,2.02
,,,1.832,2
,,,1.834,2.02
,,,1.836,2.02
,,,1.838,2.02
,,,1.84,2
,,,1.842,2
,,,1.844,1.98
,,,1.846,2
,,,1.848,1.96
,,,1.85,1.88
,,,1.852,1.84
,,,1.854,1.82
,,,1.856,1.78
,,,1.858,1.72
,,,1.86,1.66
,,,1.862,1.62
,,,1.864,1.6
,,,1.866,1.54
,,,1.868,1.54
,,,1.87,1.48
,,,1.872,1.46
,,,1.874,1.4
,,,1.876,1.36
,,,1.878,1.34
,,,1.88,1.3
,,,1.882,1.26
,,,1.884,1.28
,,,1.886,1.24
,,,1.888,1.2
,,,1.89,1.18
,,,1.892,1.16
,,,1.894,1.12
,,,1.896,1.1
,,,1.898,1.06
,,,1.9,1.04
,,,1.902,1
,,,1.904,1
,,,1.906,0.96
,,,1.908,0.96
,,,1.91,0.94
,,,1.912,0.9
,,,1.914,0.88
,,,1.916,0.86
,,,1.918,0.86
,,,1.92,0.84
,,,1.922,0.82
,,,1.924,0.8
,,,1.926,0.78
,,,1.928,0.76
,,,1.93,0.74
,,,1.932,0.74
,,,1.934,0.7
,,,1.936,0.7
,,,1.938,0.68
,,,1.94,0.66
,,,1.942,0.64
,,,1.944,0.64
,,,1.946,0.64
,,,1.948,0.62
,,,1.95,0.58
,,,1.952,0.58
,,,1.954,0.56
,,,1.956,0.56
,,,1.958,0.52
,,,1.96,0.52
,,,1.962,0.52
,,,1.964,0.52
,,,1.966,0.5
