Record Length,Sample Interval,Trigger Point,Source,Vertical Units,Vertical Scale,Vertical Offset,Horizontal Units,Horizontal Scale,Pt Fmt,Yzero,Probe Atten,Model Number,Serial Number,Firmware Version,T,V
,,,,,,,,,,,,,,,0.036,-0.04
,,,,,,,,,,,,,,,0.037,0
,,,,,,,,,,,,,,,0.038,0
,,,,,,,,,,,,,,,0.039,0
,,,,,,,,,,,,,,,0.04,-0.04
,,,,,,,,,,,,,,,0.041,-0.04
,,,,,,,,,,,,,,,0.042,0
,,,,,,,,,,,,,,,0.043,0
,,,,,,,,,,,,,,,0.044,-0.04
,,,,,,,,,,,,,,,0.045,0
,,,,,,,,,,,,,,,0.046,0
,,,,,,,,,,,,,,,0.047,-0.04
,,,,,,,,,,,,,,,0.048,0
,,,,,,,,,,,,,,,0.049,0
,,,,,,,,,,,,,,,0.05,0
,,,,,,,,,,,,,,,0.051,0
,,,,,,,,,,,,,,,0.052,-0.04
,,,,,,,,,,,,,,,0.053,0
,,,,,,,,,,,,,,,0.054,0
,,,,,,,,,,,,,,,0.055,0
,,,,,,,,,,,,,,,0.056,0
,,,,,,,,,,,,,,,0.057,0
,,,,,,,,,,,,,,,0.058,0
,,,,,,,,,,,,,,,0.059,-0.04
,,,,,,,,,,,,,,,0.06,0
,,,,,,,,,,,,,,,0.061,0
,,,,,,,,,,,,,,,0.062,0
,,,,,,,,,,,,,,,0.063,0
,,,,,,,,,,,,,,,0.064,0
,,,,,,,,,,,,,,,0.065,-0.04
,,,,,,,,,,,,,,,0.066,0
,,,,,,,,,,,,,,,0.067,0
,,,,,,,,,,,,,,,0.068,0
,,,,,,,,,,,,,,,0.069,-0.04
